      2 ,
      1 ,,loncho,1
      1 ,,loncho,3
      1 ,alicastrum,broali,2
      1 ,alicastrum,broali,21
      1 ,alicastrum,broali,7
      3 ,annpur,1
      1 ,antless,14
      1 ,astgra,16
      1 ,astgra,2
      1 ,capiri,sidcap,1
      1 ,cassyl,144
      2 ,cassyl,2
      1 ,cassyl,25
      1 ,cassyl,30
      1 ,cassyl,7
      1 ,castre,2
      1 ,castre,8
      1 ,corgua,13
      1 ,corgua,23
      2 ,corgua,4
      1 ,cubensis,swacub,9
      3 ,edulis,aliedu,1
      2 ,edulis,aliedu,2
      1 ,edulis,aliedu,3
      1 ,edulis,aliedu,4
      1 ,edulis,aliedu,5
      1 ,edulis,aliedu,7
      1 ,edulis,aliedu,9
      1 ,elastica,casela,5
      1 ,elliptica,coursetia
      1 ,ferreum,krufer,2
      1 ,frondosa,capfro,3
      1 ,frondosa,capfro,7
      1 ,frutescens,myrfru,8
      2 ,guamac,1
      3 ,guamac,2
      1 ,guamac,4
      1 ,guanacastensis,cocgua,1
      1 ,guanacastensis,cocgua,21
      1 ,indica,capind,15
      1 ,karcal,1
      1 ,micarg,1
      1 ,micarg,6
      1 ,mombin,spomom,1
      1 ,mombin,spomom,10
      1 ,mombin,spomom,2
      1 ,mombin,spomom,6
      2 ,mombin,spomom,8
      1 ,oleoides,queoli,46
      1 ,oleoides,queoli,80
      1 ,pavoniana,sebpav,1
      1 ,pavoniana,sebpav,10
      1 ,quaternaria,picqua,12
      1 ,quaternaria,picqua,4
      1 ,quaternaria,picqua,9
      2 ,rugosus,lonrug,1
      3 ,saman,samsam,1
      1 1,Byrsonima,crassifolia,Byrcra,57
      1 1,Cochlospermum,vitifolium,cocvit,2
      1 1,Curatella,americana,curame,42
      1 1,Genipa,americana,gename,1
      1 1,Roupala,montana,roumon,6
      1 10,Acacia,collinsii,acacol,1
      1 10,Acosmium,panamense,acopan,2
      1 10,Allophyllusc,occidentalisc,allocc,7
      1 10,Annona,reticulata,annret,9
      1 10,Bursera,simaruba,bursim,2
      1 10,Casearia,nitida,casnit,2
      1 10,Cecropia,peltata,cecpel,1
      1 10,Chomelia,spinosa,chospi,1
      1 10,Cordia,panamensis,corpan,16
      1 10,Cupania,guatemalensis,cupgua,8
      1 10,Enterolobium,cyclocarpum,entcyc,2
      1 10,Guazuma,ulmifolia,guaulm,3
      1 10,Hirtella,racemosa,hirrac,1
      1 10,Hymenaea,courbaril,hymcou,13
      1 10,Inga,vera,ingver,2
      1 10,Jacquinia,nervosa,jacner,1
      1 10,Luehea,speciosa,luespe,39
      1 10,Maclura,tinctoria,mactin,2
      1 10,Malvaviscus,arboreus,malarb,15
      1 10,Manilkara,chicle,manchi,5
      1 10,Ocotea,veraguensis,ocover,2
      1 10,Piper,,piper,2
      1 10,Pseudobombax,,pseudobom,2
      1 10,Randia,subcordata,ransub,2
      1 10,Simarouba,glauca,simgla,7
      1 10,Tabebuea,ochracea,taboch,39
      1 10,Tetracera,volubilis,tetvol,12
      1 11,Acacia,collinsii,acacol,2
      1 11,Allophyllusc,occidentalisc,allocc,7
      1 11,Bursera,simaruba,bursim,1
      1 11,Calycophyllum,candidissimum,calcan,22
      1 11,Chomelia,spinosa,chospi,1
      1 11,Cochlospermum,vitifolium,cocvit,1
      1 11,Cordia,panamensis,corpan,1
      1 11,Cornutia,,cornutia,1
      1 11,Cupania,guatemalensis,cupgua,1
      1 11,Genipa,americana,gename,1
      1 11,Guazuma,ulmifolia,guaulm,2
      1 11,Hirtella,racemosa,hirrac,26
      1 11,Hymenaea,courbaril,hymcou,3
      1 11,Inga,vera,ingver,1
      1 11,Luehea,speciosa,luespe,8
      1 11,Malvaviscus,arboreus,malarb,5
      1 11,Manilkara,chicle,manchi,3
      1 11,Mouriri,myrtilloides,moumyr,1
      1 11,Pithecellobium,dulce,pitdul,13
      1 11,Randia,thurberi,ranthu,1
      1 11,Stemmadenia,obovata,steobo,4
      1 11,Tabebuea,ochracea,taboch,2
      1 11,Tetracera,volubilis,tetvol,16
      1 11,Zanthoxylum,setulosum,zanset,2
      1 12,Acacia,collinsii,acacol,1
      1 12,Albizzia,adinocephala,albadi,1
      1 12,Allophyllusc,occidentalisc,allocc,1
      1 12,Ateleia,herbert-smithii,ateher,7
      1 12,Bursera,simaruba,bursim,15
      1 12,Calycophyllum,candidissimum,calcan,27
      1 12,Chomelia,spinosa,chospi,9
      1 12,Cochlospermum,vitifolium,cocvit,5
      1 12,Cordia,panamensis,corpan,5
      1 12,Erythroxylon,havanense,eryhav,5
      1 12,Exostema,mexicanum,exomex,28
      1 12,Ficus,,fig,1
      1 12,Genipa,americana,gename,2
      1 12,Guazuma,ulmifolia,guaulm,1
      1 12,Jacquinia,nervosa,jacner,12
      1 12,Luehea,speciosa,luespe,8
      1 12,Machaerium,biovulatum,macbio,7
      1 12,Manilkara,chicle,manchi,1
      1 12,Pisonia,macranthocarpa,pismac,10
      1 12,Pseudobombax,,pseudobom,1
      1 12,Randia,monantha,,2
      1 12,Randia,subcordata,ransub,20
      1 12,Sapranthus,palanga,sappal,12
      1 12,Semialarium,mexicanum,hemmex,16
      1 12,Simarouba,glauca,simgla,1
      1 12,Stemmadenia,obovata,steobo,6
      1 12,Tabebuea,ochracea,taboch,7
      1 12,Tetracera,volubilis,tetvol,1
      1 13,Acacia,collinsii,acacol,1
      1 13,Calycophyllum,candidissimum,calcan,2
      1 13,Cecropia,peltata,cecpel,2
      1 13,Chomelia,spinosa,chospi,1
      1 13,Dipterodendron,costaricensis,dipcos,4
      1 13,Enterolobium,cyclocarpum,entcyc,1
      1 13,Faramea,occidentalis,farocc,2
      1 13,Ficus,,stranfig,13
      1 13,Hirtella,racemosa,hirrac,43
      1 13,Hymenaea,courbaril,hymcou,2
      1 13,Luehea,speciosa,luespe,2
      1 13,Malpighia,glabra,malgla,47
      1 13,Manilkara,chicle,manchi,8
      1 13,Mouriri,myrtilloides,moumyr,45
      1 13,Ocotea,veraguensis,ocover,1
      1 13,Randia,subcordata,ransub,2
      1 13,Sloanea,terniflora,sloter,3
      1 13,Tabebuea,ochracea,taboch,3
      1 13,Tetracera,volubilis,tetvol,29
      1 14,Acosmium,panamense,acopan,3
      1 14,Bursera,simaruba,bursim,1
      1 14,Calycophyllum,candidissimum,calcan,5
      1 14,Cordia,panamensis,corpan,1
      1 14,Cupania,guatemalensis,cupgua,3
      1 14,Ficus,,stranfig,5
      1 14,Hymenaea,courbaril,hymcou,5
      1 14,Ixora,floribunda,ixoflo,3
      1 14,Malpighia,glabra,malgla,12
      1 14,Manilkara,chicle,manchi,8
      1 14,Mouriri,myrtilloides,moumyr,100
      1 14,Pseudobombax,sudobomb,pseudobom,1
      1 14,Tabebuea,ochracea,taboch,1
      1 14,Tetracera,volubilis,tetvol,5
      1 14,Zanthoxylum,setulosum,zanset,1
      1 2,Byrsonima,crassifolia,Byrcra,21
      1 2,Cochlospermum,vitifolium,cocvit,1
      1 2,Curatella,americana,curame,151
      1 2,Luehea,speciosa,luespe,7
      1 2,Roupala,montana,roumon,12
      1 3,Acacia,collinsii,acacol,64
      1 3,Agonandra,macrocarpa,agomac,2
      1 3,Bursera,tomentosa,burtom,9
      1 3,Byrsonima,crassifolia,Byrcra,116
      1 3,Cochlospermum,vitifolium,cocvit,1
      1 3,Curatella,americana,curame,16
      1 3,Genipa,americana,gename,8
      1 3,Machaerium,biovulatum,macbio,1
      1 3,Rehdera,trinervis,rehtri,88
      1 3,Roupala,montana,roumon,3
      1 3,Semialarium,mexicanum,hemmex,25
      1 3,Simarouba,glauca,simgla,1
      1 3,Tetracera,volubilis,tetvol,9
      1 4,Acacia,collinsii,acacol,14
      1 4,Bursera,tomentosa,byrtom,2
      1 4,Byrsonima,crassifolia,Byrcra,157
      1 4,Cochlospermum,vitifolium,cocvit,1
      1 4,Curatella,americana,curame,13
      1 4,Genipa,americana,gename,1
      1 4,Rehdera,trinervis,rehtri,21
      1 4,Roupala,montana,roumon,2
      1 5,Acacia,collinsii,acacol,14
      1 5,Acosmium,panamense,acopan,2
      1 5,Agonandra,macrocarpa,agomac,1
      1 5,Annona,purpurea,annpur,2
      1 5,Annona,reticulata,annret,18
      1 5,Bauhinia,ungulata,bauung,3
      1 5,Bursera,simaruba,bursim,1
      1 5,Casearia,arguta,casarg,2
      1 5,Chomelia,spinosa,chospi,8
      1 5,Cochlospermum,vitifolium,cocvit,10
      1 5,Cordia,panamensis,corpan,5
      1 5,Genipa,americana,gename,6
      1 5,Hirtella,racemosa,hirrac,20
      1 5,Jacquinia,nervosa,jacner,1
      1 5,Luehea,speciosa,luespe,3
      1 5,Rehdera,trinervis,rehtri,1
      1 5,Semialarium,mexicanum,hemmex,26
      1 5,Tabebuea,rosea,tabros,1
      1 5,Tetracera,volubilis,tetvol,14
      1 6,Acacia,collinsii,acacol,34
      1 6,Acosmium,panamense,acopan,1
      1 6,Acrocomia,vinifera,acrvin,1
      1 6,Bauhinia,ungulata,bauung,2
      1 6,Byrsonima,crassifolia,Byrcra,12
      1 6,Casearia,nitida,casnit,6
      1 6,Cedrela,odorata,cedodo,1
      1 6,Chomelia,spinosa,chospi,9
      1 6,Cochlospermum,vitifolium,cocvit,1
      1 6,Cornutia,grandifolia,corgra,10
      1 6,Crescentia,alata,creala,7
      1 6,Enterolobium,cyclocarpum,entcyc,3
      1 6,Guazuma,ulmifolia,guaulm,40
      1 6,Trichilia,trifolia,tritri,1
      1 7,Acacia,collinsii,acacol,10
      1 7,Acosmium,panamense,acopan,1
      1 7,Agonandra,macrocarpa,agomac,14
      1 7,Allophyllusc,occidentalisc,allocc,12
      1 7,Annona,reticulata,annret,1
      1 7,Bursera,simaruba,bursim,3
      1 7,Bursera,tomentosa,burtom,2
      1 7,Casearia,nitida,casnit,15
      1 7,Chomelia,spinosa,chospi,5
      1 7,Cordia,alliodora,corall,13
      1 7,Cordia,panamensis,corpan,7
      1 7,Enterolobium,cyclocarpum,entcyc,1
      1 7,Guazuma,ulmifolia,guaulm,6
      1 7,Jacquinia,nervosa,jacner,1
      1 7,Luehea,speciosa,luespe,4
      1 7,Maclura,tinctoria,mactin,3
      1 7,Malvaviscus,arboreus,malarb,1
      1 7,Manilkara,chicle,manchi,1
      1 7,Pithecellobium,dulce,pitdul,1
      1 7,Randia,subcordata,ransub,18
      1 7,Simarouba,glauca,simgla,3
      1 7,Stemmadenia,obovata,steobo,15
      1 7,Tabebuea,ochracea,taboch,39
      1 7,Tabebuea,rosea,tabros,1
      1 7,Tetracera,volubilis,tetvol,7
      1 7,Trichilia,americana,triame,11
      1 7,Trichilia,trifolia,tritri,14
      1 7,Xylosma,flexuosa,xylfle,1
      1 8,Acacia,collinsii,acacol,8
      1 8,Bursera,simaruba,bursim,2
      1 8,Cestrum,,cestrum,2
      1 8,Cordia,alliodora,corall,8
      1 8,Cornutia,grandifolia,corgra,1
      1 8,Cupania,guatemalensis,cupgua,22
      1 8,Diospyros,nicaraguensis,dionic,2
      1 8,Enterolobium,cyclocarpum,entcyc,1
      1 8,Guazuma,ulmifolia,guaulm,42
      1 8,Luehea,speciosa,luespe,2
      1 8,Maclura,tinctoria,mactin,4
      1 8,Malvaviscus,arboreus,malarb,9
      1 8,Piper,,piper,4
      1 8,Simarouba,glauca,simgla,3
      1 8,Thouinidium,decandrum,thodec,3
      1 9,Acacia,collinsii,acacol,9
      1 9,Bauhinia,ungulata,bauung,4
      1 9,Bursera,simaruba,bursim,2
      1 9,Calycophyllum,candidissimum,calcan,9
      1 9,Casearia,nitida,casnit,23
      1 9,Ceiba,pentandra,ceipan,1
      1 9,Chomelia,spinosa,chospi,1
      1 9,Genipa,americana,gename,6
      1 9,Guazuma,ulmifolia,guaulm,31
      1 9,Hymenaea,courbaril,hymcou,1
      1 9,Maclura,tinctoria,mactin,1
      1 9,Malpighia,glabra,malgla,1
      1 9,Malvaviscus,arboreus,malarb,9
      1 9,Pisonia,macranthocarpa,pismac,8
      1 9,Randia,subcordata,ransub,5
      1 9,Semialarium,mexicanum,hemmex,17
      1 9,Stemmadenia,obovata,steobo,1
      1 9,Tabebuea,rosea,tabros,1
      1 9,Tetracera,volubilis,tetvol,2
      1 9,Thouinidium,decandrum,thodec,1
